Latitude,Longitude,STATION_NAME,STATION_CODE,DIVISION,STATE,CATEGORY
17.72220140,83.28926120,VISAKHAPATNAM,VSKP,WAT,ANDHRA PRADESH,A1
17.39242170,78.46899880,HYDERABAD                                         ,HYB ,SC        ,ANDHRA PRADESH,A1
17.39064710,78.50090930,KACHEGUDA,KCG,HYB       ,ANDHRA PRADESH,A1
17.43370900,78.50161440,SECUNDERABAD JN                                   ,SC  ,SC        ,ANDHRA PRADESH,A1
13.62834700,79.41997750,TIRUPATI,TPTY,GTL   ,ANDHRA PRADESH,A1
16.51862490,80.61989770,VIJAYAWADA                                 ,BZA ,BZA       ,ANDHRA PRADESH,A1
26.18254870,91.74974340,GUWAHATI,GHY,LMG,ASSAM,A1
26.15477010,85.90724760,DARBHANGA JN.,DBG,SPJ,BIHAR,A1
24.80324130,84.99970720,GAYA JN.,GYA,MGS,BIHAR,A1
26.12189880,85.37911280,MUZAFFARPUR JN.,MFP,SEE,BIHAR,A1
25.60330280,85.13713700,PATNA JN.,PNBE,DNR,BIHAR,A1
25.24003000,86.98451100,BHAGALPUR ,BGP,MLDT,BIHAR,A1
25.78750720,84.72499340,CHHAPRA JN.,CPR,VARANASI,BIHAR,A1
30.70221910,76.82247010,CHANDIGARH,CDG,UMB,CHANDIGARH,A1
22.05610610,82.17185470,BILASPUR JN,BSP,BSP,CHHATTISGARH,A1
21.25138440,81.62964130,RAIPUR,R,R,CHHATTISGARH,A1
28.64892840,77.31518450,ANAND VIHAR TERMINAL,ANVT,DLI,DELHI,A1
28.66096770,77.22767040,DELHI JN.,DLI,DLI,DELHI,A1
28.58891880,77.25347260,H. NIZAMUDDIN,HNZM,DLI,DELHI,A1
28.64154940,77.22081230,NEW DELHI,NDLS,DLI,DELHI,A1
23.03318150,72.50990500,AHMEDABAD,ADI,AHMEDABAD,GUJARAT,A1
22.31174820,70.80273540,RAJKOT,RJT,RAJKOT,GUJARAT,A1
21.20500000,72.84080000,SURAT,ST,MUMBAI CENTRAL,GUJARAT,A1
22.31077490,73.18093000,VADODARA,BRC,VADODARA,GUJARAT,A1
30.33772190,76.82802300,AMBALA CANTT. JN.,UMB,UMB,HARYANA,A1
32.70552310,74.88066130,JAMMU TAWI,JAT,FZR,JAMMU & KASHMIR,A1
23.79102940,86.42993910,DHANBAD,DHN,DHN,JHARKHAND,A1
22.77590820,86.18926880,TATANAGAR,TATA,CKP,JHARKHAND,A1
12.97812890,77.56956780,BANGALORE CITY,SBC ,SBC,KARNATAKA,A1
13.02375630,77.55073790,YESVANTPUR,YPR ,SBC,KARNATAKA,A1
9.96905560,76.29101130,ERNAKULAM JN                       ,ERS  ,TVC,KERALA,A1
11.24666310,75.78107350,KOZHIKKODE                         ,CLT  ,PGT,KERALA,A1
10.51407670,76.20764780,THRISUR                            ,TCR  ,TVC,KERALA,A1
8.48695720,76.95267740,TIRUVANANTHAPURAM CENTRAL          ,TVC  ,TVC,KERALA,A1
26.21595570,78.18191500,GWALIOR,GWL,JHS,MADHYA PRADESH,A1
23.25540930,77.45259610,BHOPAL,BPL,BPL,MADHYA PRADESH,A1
23.16519570,79.95074700,JABALPUR,JBP,JBP,MADHYA PRADESH,A1
18.93982080,72.83546760,CST MUMBAI,CSTM,BB,MAHARASHTRA,A1
19.01503160,72.84535960,DADAR,DR,BB,MAHARASHTRA,A1
19.23540820,73.13102400,KALYAN,KYN,BB,MAHARASHTRA,A1
19.06914300,72.89227310,LOKMANYA TILAK (T),LTT,BB,MAHARASHTRA,A1
21.15218700,79.08875880,NAGPUR,NGP,NGP,MAHARASHTRA,A1
18.52241510,73.84107170,PUNE,PA,PA,MAHARASHTRA,A1
17.66442330,75.89297020,SOLAPUR,SUR,SUR,MAHARASHTRA,A1
19.18604080,72.97588370,THANE,TNA,BB,MAHARASHTRA,A1
19.06252410,72.84130660,BANDRA TERMINUS,BDTS,MUMBAI CENTRAL,MAHARASHTRA,A1
18.97077140,72.81945320,MUMBAI CENTRAL MAIN,BCT,MUMBAI CENTRAL,MAHARASHTRA,A1
20.26660100,85.84361540,BHUBANESWAR,BBS,KUR,ODISHA,A1
19.81338220,85.83146550,PURI,PURI,KUR,ODISHA,A1
31.63308590,74.86713100,AMRITSAR,ASR,FZR,PUNJAB,A1
30.91212690,75.84822480,LUDHIANA,LDH,FZR,PUNJAB,A1
26.45709460,74.63719620,AJMER,AII,AJMER,RAJASTHAN,A1
26.91915200,75.78888930,JAIPUR,JP,JAIPUR,RAJASTHAN,A1
26.31279700,73.09294500,JODHPUR CANTT,JUCT,JODHPUR,RAJASTHAN,A1
13.08218880,80.27550830,CHENNAI CENTRAL                    ,MAS  ,MAS,TAMIL NADU,A1
13.07787460,80.26161950,CHENNAI EGMORE                     ,MS   ,MAS,TAMIL NADU,A1
10.99591490,76.96774090,COIMBATORE JN                      ,CBE  ,SA,TAMIL NADU,A1
9.92035450,78.11029320,MADURAI JN                         ,MDU  ,MDU,TAMIL NADU,A1
25.27846260,83.11998290,MUGHALSARAI JN.,MGS,MGS,UTTAR PRADESH,A1
27.15781520,77.98992440,AGRA CANTT,AGC  ,AGC,UTTAR PRADESH,A1
25.44567730,81.83024880,ALLAHABAD,ALD,ALD,UTTAR PRADESH,A1
25.44317200,78.55750460,JHANSI,JHS,JHS,UTTAR PRADESH,A1
26.45385500,80.35119460,KANPUR CENTRAL,CNB,ALD,UTTAR PRADESH,A1
27.47948210,77.67365100,MATHURA JN,MTJ       ,AGC,UTTAR PRADESH,A1
26.75952150,83.38175470,GORAKHPUR JN.,GKP,LUCKNOW,UTTAR PRADESH,A1
26.83169980,80.91915050,LUCKNOW JN.,LJN,LUCKNOW,UTTAR PRADESH,A1
28.33713430,79.41082440,BAREILLY,BE,MB,UTTAR PRADESH,A1
26.84669370,80.94616600,LUCKNOW,LKO,LKO,UTTAR PRADESH,A1
